24.10.17,0,10
24.10.17,1,9
24.10.17,2,8
24.10.17,3,8
24.10.17,4,7
24.10.17,5,7
24.10.17,6,6
24.10.17,7,7
24.10.17,8,8
24.10.17,9,9
24.10.17,10,11
24.10.17,11,11
24.10.17,12,12
24.10.17,13,13
24.10.17,14,14
24.10.17,15,14
24.10.17,16,14
24.10.17,17,14
24.10.17,18,13
24.10.17,19,13
24.10.17,20,13
24.10.17,21,13
24.10.17,22,13
24.10.17,23,12
25.10.17,0,12
25.10.17,1,12
25.10.17,2,12
25.10.17,3,12
25.10.17,4,12
25.10.17,5,12
25.10.17,6,12
25.10.17,7,13
25.10.17,8,13
25.10.17,9,14
25.10.17,10,15
25.10.17,11,15
25.10.17,12,17
25.10.17,13,17
25.10.17,14,18
25.10.17,15,18
25.10.17,16,18
25.10.17,17,18
25.10.17,18,17
25.10.17,19,16
25.10.17,20,16
25.10.17,21,15
25.10.17,22,15
25.10.17,23,14
26.10.17,0,14
26.10.17,1,13
26.10.17,2,13
26.10.17,3,12
26.10.17,4,11
26.10.17,5,11
26.10.17,6,12
26.10.17,7,12
26.10.17,8,12
26.10.17,9,12
26.10.17,10,13
26.10.17,11,14
26.10.17,12,13
26.10.17,13,14
26.10.17,14,15
26.10.17,15,14
26.10.17,16,15
26.10.17,17,14
26.10.17,18,12
26.10.17,19,12
26.10.17,20,11
26.10.17,21,11
26.10.17,22,11
26.10.17,23,11
27.10.17,0,10
27.10.17,1,10
27.10.17,2,10
27.10.17,3,10
27.10.17,4,9
27.10.17,5,9
27.10.17,6,9
27.10.17,7,10
27.10.17,8,9
27.10.17,9,9
27.10.17,10,10
27.10.17,11,12
27.10.17,12,11
27.10.17,13,11
27.10.17,14,12
27.10.17,15,12
27.10.17,16,12
27.10.17,17,11
27.10.17,18,11
27.10.17,19,11
27.10.17,20,11
27.10.17,21,11
27.10.17,22,10
27.10.17,23,10
28.10.17,0,10
28.10.17,1,10
28.10.17,2,9
28.10.17,3,9
28.10.17,4,9
28.10.17,5,9
28.10.17,6,9
28.10.17,7,9
28.10.17,8,9
28.10.17,9,10
28.10.17,10,10
28.10.17,11,10
28.10.17,12,10
28.10.17,13,11
28.10.17,14,11
28.10.17,15,11
28.10.17,16,9
28.10.17,17,9
28.10.17,18,10
28.10.17,19,10
28.10.17,20,10
28.10.17,21,9
28.10.17,22,9
28.10.17,23,9
29.10.17,0,7
29.10.17,1,7
29.10.17,2,6
29.10.17,3,6
29.10.17,4,5
29.10.17,5,5
29.10.17,6,6
29.10.17,7,6
29.10.17,8,7
29.10.17,9,7
29.10.17,10,9
29.10.17,11,9
29.10.17,12,10
29.10.17,13,10
29.10.17,14,11
29.10.17,15,11
29.10.17,16,12
29.10.17,17,12
29.10.17,18,11
29.10.17,19,11
29.10.17,20,11
29.10.17,21,9
29.10.17,22,9
29.10.17,23,8
30.10.17,0,8
30.10.17,1,7
30.10.17,2,6
30.10.17,3,5
30.10.17,4,5
30.10.17,5,5
30.10.17,6,4
30.10.17,7,4
30.10.17,8,7
30.10.17,9,7
30.10.17,10,8
30.10.17,11,8
30.10.17,12,8
30.10.17,13,9
30.10.17,14,9
30.10.17,15,7
30.10.17,16,8
30.10.17,17,9
30.10.17,18,8
30.10.17,19,8
30.10.17,20,8
30.10.17,21,7
30.10.17,22,7
30.10.17,23,7
31.10.17,0,7
31.10.17,1,6
31.10.17,2,6
31.10.17,3,6
31.10.17,4,5
31.10.17,5,5
31.10.17,6,6
31.10.17,7,6
31.10.17,8,7
31.10.17,9,7
31.10.17,10,7
31.10.17,11,9
31.10.17,12,8
31.10.17,13,9
31.10.17,14,8
31.10.17,15,8
31.10.17,16,8
31.10.17,17,7
31.10.17,18,7
31.10.17,19,7
31.10.17,20,7
31.10.17,21,6
31.10.17,22,6
31.10.17,23,6
